dept_time,Total_Fare,Airways,Available,Duration,days_till_flight,dep_day_of_week,futuredays,prediction_day_of_week,current_day_of_week,price
1,8572,1,2,95,12,4,2,1,6,7794
1,7794,1,1,95,11,4,1,1,7,7794
1,8572,1,2,95,12,4,4,3,6,7058
1,7794,1,1,95,11,4,3,3,7,7058
1,7794,1,1,95,10,4,2,3,1,7058
1,8572,1,2,95,12,4,5,4,6,8572
1,7794,1,1,95,11,4,4,4,7,8572
1,7794,1,1,95,10,4,3,4,1,8572
1,7058,1,3,95,8,4,1,4,3,8572
1,8572,1,2,95,12,4,9,1,6,10324
1,7794,1,1,95,11,4,8,1,7,10324
1,7794,1,1,95,10,4,7,1,1,10324
1,7058,1,3,95,8,4,5,1,3,10324
1,8572,1,1,95,7,4,4,1,4,10324
1,7794,1,3,95,13,5,1,7,6,5774
1,7794,1,3,95,13,5,2,1,6,7794
1,5774,1,1,95,12,5,1,1,7,7794
1,7794,1,3,95,13,5,5,4,6,7794
1,5774,1,1,95,12,5,4,4,7,7794
1,7794,1,3,95,11,5,3,4,1,7794
1,7794,1,3,95,13,5,9,1,6,8572
1,5774,1,1,95,12,5,8,1,7,8572
1,7794,1,3,95,11,5,7,1,1,8572
1,7794,1,3,95,8,5,4,1,4,8572
1,7794,1,3,95,13,5,11,3,6,11414
1,5774,1,1,95,12,5,10,3,7,11414
1,7794,1,3,95,11,5,9,3,1,11414
1,7794,1,3,95,8,5,6,3,4,11414
1,8572,1,1,95,4,5,2,3,1,11414
1,7794,1,4,95,14,6,1,7,6,7794
1,7794,1,4,95,14,6,2,1,6,7794
1,7794,1,4,95,13,6,1,1,7,7794
1,7794,1,4,95,14,6,4,3,6,7058
1,7794,1,4,95,13,6,3,3,7,7058
1,7794,1,4,95,12,6,2,3,1,7058
1,7794,1,4,95,14,6,5,4,6,8572
1,7794,1,4,95,13,6,4,4,7,8572
1,7794,1,4,95,12,6,3,4,1,8572
1,7058,1,7,95,10,6,1,4,3,8572
1,7794,1,4,95,14,6,9,1,6,10324
1,7794,1,4,95,13,6,8,1,7,10324
1,7794,1,4,95,12,6,7,1,1,10324
1,7058,1,7,95,10,6,5,1,3,10324
1,8572,1,3,95,9,6,4,1,4,10324
1,7794,1,4,95,14,6,11,3,6,10324
1,7794,1,4,95,13,6,10,3,7,10324
1,7794,1,4,95,12,6,9,3,1,10324
1,7058,1,7,95,10,6,7,3,3,10324
1,8572,1,3,95,9,6,6,3,4,10324
1,10324,1,2,95,5,6,2,3,1,10324
1,7794,1,4,95,14,6,13,5,6,10324
1,7794,1,4,95,13,6,12,5,7,10324
1,7794,1,4,95,12,6,11,5,1,10324
1,7058,1,7,95,10,6,9,5,3,10324
1,8572,1,3,95,9,6,8,5,4,10324
1,10324,1,2,95,5,6,4,5,1,10324
1,10324,1,3,95,3,6,2,5,3,10324
1,10324,1,2,95,15,7,1,7,6,10324
1,10324,1,2,95,15,7,2,1,6,11010
1,10324,1,2,95,14,7,1,1,7,11010
1,10324,1,2,95,15,7,4,3,6,10850
1,10324,1,2,95,14,7,3,3,7,10850
1,11010,1,3,95,13,7,2,3,1,10850
1,10324,1,2,95,15,7,5,4,6,11010
1,10324,1,2,95,14,7,4,4,7,11010
1,11010,1,3,95,13,7,3,4,1,11010
1,10850,1,1,95,11,7,1,4,3,11010
1,10324,1,2,95,15,7,9,1,6,10324
1,10324,1,2,95,14,7,8,1,7,10324
1,11010,1,3,95,13,7,7,1,1,10324
1,10850,1,1,95,11,7,5,1,3,10324
1,11010,1,2,95,10,7,4,1,4,10324
1,10324,1,2,95,15,7,11,3,6,10324
1,10324,1,2,95,14,7,10,3,7,10324
1,11010,1,3,95,13,7,9,3,1,10324
1,10850,1,1,95,11,7,7,3,3,10324
1,11010,1,2,95,10,7,6,3,4,10324
1,10324,1,5,95,6,7,2,3,1,10324
1,10324,1,2,95,15,7,13,5,6,12946
1,10324,1,2,95,14,7,12,5,7,12946
1,11010,1,3,95,13,7,11,5,1,12946
1,10850,1,1,95,11,7,9,5,3,12946
1,11010,1,2,95,10,7,8,5,4,12946
1,10324,1,5,95,6,7,4,5,1,12946
1,10324,1,1,95,4,7,2,5,3,12946
1,8860,1,2,95,16,1,1,7,6,8860
1,8860,1,2,95,16,1,2,1,6,8860
1,8860,1,2,95,15,1,1,1,7,8860
1,8860,1,2,95,16,1,4,3,6,8860
1,8860,1,2,95,15,1,3,3,7,8860
1,8860,1,2,95,14,1,2,3,1,8860
1,8860,1,2,95,16,1,9,1,6,18524
1,8860,1,2,95,15,1,8,1,7,18524
1,8860,1,2,95,14,1,7,1,1,18524
1,8860,1,2,95,12,1,5,1,3,18524
1,8860,1,2,95,16,1,13,5,6,12946
1,8860,1,2,95,15,1,12,5,7,12946
1,8860,1,2,95,14,1,11,5,1,12946
1,8860,1,2,95,12,1,9,5,3,12946
1,18524,1,1,95,7,1,4,5,1,12946
1,7058,1,2,95,17,2,1,7,6,7058
1,7058,1,2,95,17,2,2,1,6,7058
1,7058,1,2,95,16,2,1,1,7,7058
1,7058,1,2,95,17,2,4,3,6,7058
1,7058,1,2,95,16,2,3,3,7,7058
1,7058,1,2,95,15,2,2,3,1,7058
1,7058,1,2,95,17,2,5,4,6,8860
1,7058,1,2,95,16,2,4,4,7,8860
1,7058,1,2,95,15,2,3,4,1,8860
1,7058,1,1,95,13,2,1,4,3,8860
1,7058,1,2,95,17,2,9,1,6,11010
1,7058,1,2,95,16,2,8,1,7,11010
1,7058,1,2,95,15,2,7,1,1,11010
1,7058,1,1,95,13,2,5,1,3,11010
1,8860,1,2,95,12,2,4,1,4,11010
1,7058,1,2,95,17,2,11,3,6,12946
1,7058,1,2,95,16,2,10,3,7,12946
1,7058,1,2,95,15,2,9,3,1,12946
1,7058,1,1,95,13,2,7,3,3,12946
1,8860,1,2,95,12,2,6,3,4,12946
1,11010,1,1,95,8,2,2,3,1,12946
1,7058,1,2,95,17,2,13,5,6,12946
1,7058,1,2,95,16,2,12,5,7,12946
1,7058,1,2,95,15,2,11,5,1,12946
1,7058,1,1,95,13,2,9,5,3,12946
1,8860,1,2,95,12,2,8,5,4,12946
1,11010,1,1,95,8,2,4,5,1,12946
1,12946,1,3,95,6,2,2,5,3,12946
1,7058,1,2,95,17,2,14,6,6,18524
1,7058,1,2,95,16,2,13,6,7,18524
1,7058,1,2,95,15,2,12,6,1,18524
1,7058,1,1,95,13,2,10,6,3,18524
1,8860,1,2,95,12,2,9,6,4,18524
1,11010,1,1,95,8,2,5,6,1,18524
1,12946,1,3,95,6,2,3,6,3,18524
1,12946,1,1,95,4,2,1,6,5,18524
1,5617,1,2,95,18,3,1,7,6,5973
1,5617,1,2,95,18,3,2,1,6,7058
1,5973,1,1,95,17,3,1,1,7,7058
1,5617,1,2,95,18,3,4,3,6,8020
1,5973,1,1,95,17,3,3,3,7,8020
1,7058,1,2,95,16,3,2,3,1,8020
1,5617,1,2,95,18,3,5,4,6,8020
1,5973,1,1,95,17,3,4,4,7,8020
1,7058,1,2,95,16,3,3,4,1,8020
1,8020,1,2,95,14,3,1,4,3,8020
1,5617,1,2,95,18,3,9,1,6,16450
1,5973,1,1,95,17,3,8,1,7,16450
1,7058,1,2,95,16,3,7,1,1,16450
1,8020,1,2,95,14,3,5,1,3,16450
1,8020,1,1,95,13,3,4,1,4,16450
1,5617,1,2,95,18,3,11,3,6,13797
1,5973,1,1,95,17,3,10,3,7,13797
1,7058,1,2,95,16,3,9,3,1,13797
1,8020,1,2,95,14,3,7,3,3,13797
1,8020,1,1,95,13,3,6,3,4,13797
1,16450,1,2,95,9,3,2,3,1,13797
1,5617,1,2,95,18,3,13,5,6,12946
1,5973,1,1,95,17,3,12,5,7,12946
1,7058,1,2,95,16,3,11,5,1,12946
1,8020,1,2,95,14,3,9,5,3,12946
1,8020,1,1,95,13,3,8,5,4,12946
1,16450,1,2,95,9,3,4,5,1,12946
1,13797,1,1,95,7,3,2,5,3,12946
1,4906,1,3,95,19,4,1,7,6,5217
1,4906,1,3,95,19,4,2,1,6,6218
1,5217,1,1,95,18,4,1,1,7,6218
1,4906,1,3,95,19,4,4,3,6,6540
1,5217,1,1,95,18,4,3,3,7,6540
1,6218,1,3,95,17,4,2,3,1,6540
1,4906,1,3,95,19,4,5,4,6,6540
1,5217,1,1,95,18,4,4,4,7,6540
1,6218,1,3,95,17,4,3,4,1,6540
1,6540,1,1,95,15,4,1,4,3,6540
1,4906,1,3,95,19,4,9,1,6,11010
1,5217,1,1,95,18,4,8,1,7,11010
1,6218,1,3,95,17,4,7,1,1,11010
1,6540,1,1,95,15,4,5,1,3,11010
1,6540,1,1,95,14,4,4,1,4,11010
1,4906,1,3,95,19,4,11,3,6,12946
1,5217,1,1,95,18,4,10,3,7,12946
1,6218,1,3,95,17,4,9,3,1,12946
1,6540,1,1,95,15,4,7,3,3,12946
1,6540,1,1,95,14,4,6,3,4,12946
1,11010,1,1,95,10,4,2,3,1,12946
1,4906,1,3,95,19,4,13,5,6,11010
1,5217,1,1,95,18,4,12,5,7,11010
1,6218,1,3,95,17,4,11,5,1,11010
1,6540,1,1,95,15,4,9,5,3,11010
1,6540,1,1,95,14,4,8,5,4,11010
1,11010,1,1,95,10,4,4,5,1,11010
1,12946,1,1,95,8,4,2,5,3,11010
1,4906,1,3,95,19,4,14,6,6,11010
1,5217,1,1,95,18,4,13,6,7,11010
1,6218,1,3,95,17,4,12,6,1,11010
1,6540,1,1,95,15,4,10,6,3,11010
1,6540,1,1,95,14,4,9,6,4,11010
1,11010,1,1,95,10,4,5,6,1,11010
1,12946,1,1,95,8,4,3,6,3,11010
1,11010,1,4,95,6,4,1,6,5,11010
1,4906,1,3,95,19,4,15,7,6,11010
1,5217,1,1,95,18,4,14,7,7,11010
1,6218,1,3,95,17,4,13,7,1,11010
1,6540,1,1,95,15,4,11,7,3,11010
1,6540,1,1,95,14,4,10,7,4,11010
1,11010,1,1,95,10,4,6,7,1,11010
1,12946,1,1,95,8,4,4,7,3,11010
1,11010,1,4,95,6,4,2,7,5,11010
1,11010,1,1,95,5,4,1,7,6,11010
1,5617,1,1,95,20,5,1,7,6,5405
1,5617,1,1,95,20,5,2,1,6,5405
1,5405,1,1,95,19,5,1,1,7,5405
1,5617,1,1,95,20,5,4,3,6,5617
1,5405,1,1,95,19,5,3,3,7,5617
1,5405,1,1,95,18,5,2,3,1,5617
1,5617,1,1,95,20,5,5,4,6,5973
1,5405,1,1,95,19,5,4,4,7,5973
1,5405,1,1,95,18,5,3,4,1,5973
1,5617,1,3,95,16,5,1,4,3,5973
1,5617,1,1,95,20,5,9,1,6,8860
1,5405,1,1,95,19,5,8,1,7,8860
1,5405,1,1,95,18,5,7,1,1,8860
1,5617,1,3,95,16,5,5,1,3,8860
1,5973,1,2,95,15,5,4,1,4,8860
1,5617,1,1,95,20,5,11,3,6,8860
1,5405,1,1,95,19,5,10,3,7,8860
1,5405,1,1,95,18,5,9,3,1,8860
1,5617,1,3,95,16,5,7,3,3,8860
1,5973,1,2,95,15,5,6,3,4,8860
1,8860,1,2,95,11,5,2,3,1,8860
1,5617,1,1,95,20,5,13,5,6,8860
1,5405,1,1,95,19,5,12,5,7,8860
1,5405,1,1,95,18,5,11,5,1,8860
1,5617,1,3,95,16,5,9,5,3,8860
1,5973,1,2,95,15,5,8,5,4,8860
1,8860,1,2,95,11,5,4,5,1,8860
1,8860,1,2,95,9,5,2,5,3,8860
1,5617,1,1,95,20,5,14,6,6,8860
1,5405,1,1,95,19,5,13,6,7,8860
1,5405,1,1,95,18,5,12,6,1,8860
1,5617,1,3,95,16,5,10,6,3,8860
1,5973,1,2,95,15,5,9,6,4,8860
1,8860,1,2,95,11,5,5,6,1,8860
1,8860,1,2,95,9,5,3,6,3,8860
1,8860,1,2,95,7,5,1,6,5,8860
1,5617,1,1,95,20,5,15,7,6,10324
1,5405,1,1,95,19,5,14,7,7,10324
1,5405,1,1,95,18,5,13,7,1,10324
1,5617,1,3,95,16,5,11,7,3,10324
1,5973,1,2,95,15,5,10,7,4,10324
1,8860,1,2,95,11,5,6,7,1,10324
1,8860,1,2,95,9,5,4,7,3,10324
1,8860,1,2,95,7,5,2,7,5,10324
1,8860,1,1,95,6,5,1,7,6,10324
1,4906,1,4,95,21,6,1,7,6,4906
1,4906,1,4,95,21,6,2,1,6,5405
1,4906,1,7,95,20,6,1,1,7,5405
1,4906,1,4,95,21,6,4,3,6,5617
1,4906,1,7,95,20,6,3,3,7,5617
1,5405,1,3,95,19,6,2,3,1,5617
1,4906,1,4,95,21,6,5,4,6,6540
1,4906,1,7,95,20,6,4,4,7,6540
1,5405,1,3,95,19,6,3,4,1,6540
1,5617,1,1,95,17,6,1,4,3,6540
1,4906,1,4,95,21,6,9,1,6,10324
1,4906,1,7,95,20,6,8,1,7,10324
1,5405,1,3,95,19,6,7,1,1,10324
1,5617,1,1,95,17,6,5,1,3,10324
1,6540,1,1,95,16,6,4,1,4,10324
1,4906,1,4,95,21,6,11,3,6,8860
1,4906,1,7,95,20,6,10,3,7,8860
1,5405,1,3,95,19,6,9,3,1,8860
1,5617,1,1,95,17,6,7,3,3,8860
1,6540,1,1,95,16,6,6,3,4,8860
1,10324,1,7,95,12,6,2,3,1,8860
1,4906,1,4,95,21,6,13,5,6,8860
1,4906,1,7,95,20,6,12,5,7,8860
1,5405,1,3,95,19,6,11,5,1,8860
1,5617,1,1,95,17,6,9,5,3,8860
1,6540,1,1,95,16,6,8,5,4,8860
1,10324,1,7,95,12,6,4,5,1,8860
1,8860,1,1,95,10,6,2,5,3,8860
1,4906,1,4,95,21,6,14,6,6,10324
1,4906,1,7,95,20,6,13,6,7,10324
1,5405,1,3,95,19,6,12,6,1,10324
1,5617,1,1,95,17,6,10,6,3,10324
1,6540,1,1,95,16,6,9,6,4,10324
1,10324,1,7,95,12,6,5,6,1,10324
1,8860,1,1,95,10,6,3,6,3,10324
1,8860,1,1,95,8,6,1,6,5,10324
1,4906,1,4,95,21,6,15,7,6,10324
1,4906,1,7,95,20,6,14,7,7,10324
1,5405,1,3,95,19,6,13,7,1,10324
1,5617,1,1,95,17,6,11,7,3,10324
1,6540,1,1,95,16,6,10,7,4,10324
1,10324,1,7,95,12,6,6,7,1,10324
1,8860,1,1,95,10,6,4,7,3,10324
1,8860,1,1,95,8,6,2,7,5,10324
1,10324,1,1,95,7,6,1,7,6,10324
1,6540,1,3,95,22,7,20,5,6,18524
1,6540,1,3,95,21,7,19,5,7,18524
1,6540,1,2,95,20,7,18,5,1,18524
1,7058,1,2,95,18,7,16,5,3,18524
1,7058,1,1,95,17,7,15,5,4,18524
1,16450,1,2,95,13,7,11,5,1,18524
1,16450,1,2,95,11,7,9,5,3,18524
1,16450,1,2,95,9,7,7,5,5,18524
1,13797,1,1,95,8,7,6,5,6,18524
1,12946,1,1,95,7,7,5,5,7,18524
1,6540,1,3,95,22,7,1,7,6,6540
1,6540,1,3,95,22,7,2,1,6,6540
1,6540,1,3,95,21,7,1,1,7,6540
1,6540,1,3,95,22,7,4,3,6,7058
1,6540,1,3,95,21,7,3,3,7,7058
1,6540,1,2,95,20,7,2,3,1,7058
1,6540,1,3,95,22,7,5,4,6,7058
1,6540,1,3,95,21,7,4,4,7,7058
1,6540,1,2,95,20,7,3,4,1,7058
1,7058,1,2,95,18,7,1,4,3,7058
1,6540,1,3,95,22,7,9,1,6,16450
1,6540,1,3,95,21,7,8,1,7,16450
1,6540,1,2,95,20,7,7,1,1,16450
1,7058,1,2,95,18,7,5,1,3,16450
1,7058,1,1,95,17,7,4,1,4,16450
1,6540,1,3,95,22,7,11,3,6,16450
1,6540,1,3,95,21,7,10,3,7,16450
1,6540,1,2,95,20,7,9,3,1,16450
1,7058,1,2,95,18,7,7,3,3,16450
1,7058,1,1,95,17,7,6,3,4,16450
1,16450,1,2,95,13,7,2,3,1,16450
1,6540,1,3,95,22,7,13,5,6,16450
1,6540,1,3,95,21,7,12,5,7,16450
1,6540,1,2,95,20,7,11,5,1,16450
1,7058,1,2,95,18,7,9,5,3,16450
1,7058,1,1,95,17,7,8,5,4,16450
1,16450,1,2,95,13,7,4,5,1,16450
1,16450,1,2,95,11,7,2,5,3,16450
1,6540,1,3,95,22,7,14,6,6,13797
1,6540,1,3,95,21,7,13,6,7,13797
1,6540,1,2,95,20,7,12,6,1,13797
1,7058,1,2,95,18,7,10,6,3,13797
1,7058,1,1,95,17,7,9,6,4,13797
1,16450,1,2,95,13,7,5,6,1,13797
1,16450,1,2,95,11,7,3,6,3,13797
1,16450,1,2,95,9,7,1,6,5,13797
1,6540,1,3,95,22,7,15,7,6,12946
1,6540,1,3,95,21,7,14,7,7,12946
1,6540,1,2,95,20,7,13,7,1,12946
1,7058,1,2,95,18,7,11,7,3,12946
1,7058,1,1,95,17,7,10,7,4,12946
1,16450,1,2,95,13,7,6,7,1,12946
1,16450,1,2,95,11,7,4,7,3,12946
1,16450,1,2,95,9,7,2,7,5,12946
1,13797,1,1,95,8,7,1,7,6,12946
1,4906,1,3,95,23,1,1,7,6,5405
1,4906,1,3,95,23,1,2,1,6,5405
1,5405,1,2,95,22,1,1,1,7,5405
1,4906,1,3,95,23,1,4,3,6,6218
1,5405,1,2,95,22,1,3,3,7,6218
1,5405,1,3,95,21,1,2,3,1,6218
1,4906,1,3,95,23,1,5,4,6,6540
1,5405,1,2,95,22,1,4,4,7,6540
1,5405,1,3,95,21,1,3,4,1,6540
1,6218,1,3,95,19,1,1,4,3,6540
1,4906,1,3,95,23,1,9,1,6,8860
1,5405,1,2,95,22,1,8,1,7,8860
1,5405,1,3,95,21,1,7,1,1,8860
1,6218,1,3,95,19,1,5,1,3,8860
1,6540,1,1,95,18,1,4,1,4,8860
1,4906,1,3,95,23,1,11,3,6,8860
1,5405,1,2,95,22,1,10,3,7,8860
1,5405,1,3,95,21,1,9,3,1,8860
1,6218,1,3,95,19,1,7,3,3,8860
1,6540,1,1,95,18,1,6,3,4,8860
1,8860,1,3,95,14,1,2,3,1,8860
1,4906,1,3,95,23,1,14,6,6,8020
1,5405,1,2,95,22,1,13,6,7,8020
1,5405,1,3,95,21,1,12,6,1,8020
1,6218,1,3,95,19,1,10,6,3,8020
1,6540,1,1,95,18,1,9,6,4,8020
1,8860,1,3,95,14,1,5,6,1,8020
1,8860,1,2,95,12,1,3,6,3,8020
1,4906,1,3,95,23,1,15,7,6,10324
1,5405,1,2,95,22,1,14,7,7,10324
1,5405,1,3,95,21,1,13,7,1,10324
1,6218,1,3,95,19,1,11,7,3,10324
1,6540,1,1,95,18,1,10,7,4,10324
1,8860,1,3,95,14,1,6,7,1,10324
1,8860,1,2,95,12,1,4,7,3,10324
1,8020,1,2,95,9,1,1,7,6,10324
1,4636,1,7,95,24,2,19,4,6,13797
1,4906,1,12,95,23,2,18,4,7,13797
1,4906,1,6,95,22,2,17,4,1,13797
1,4906,1,1,95,20,2,15,4,3,13797
1,5217,1,6,95,19,2,14,4,4,13797
1,6218,1,2,95,15,2,10,4,1,13797
1,6540,1,1,95,13,2,8,4,3,13797
1,8860,1,1,95,11,2,6,4,5,13797
1,12946,1,1,95,10,2,5,4,6,13797
1,12946,1,1,95,9,2,4,4,7,13797
1,13797,1,1,95,5,2,1,5,4,13797
1,4636,1,7,95,24,2,20,5,6,13797
1,4906,1,12,95,23,2,19,5,7,13797
1,4906,1,6,95,22,2,18,5,1,13797
1,4906,1,1,95,20,2,16,5,3,13797
1,5217,1,6,95,19,2,15,5,4,13797
1,6218,1,2,95,15,2,11,5,1,13797
1,6540,1,1,95,13,2,9,5,3,13797
1,8860,1,1,95,11,2,7,5,5,13797
1,12946,1,1,95,10,2,6,5,6,13797
1,12946,1,1,95,9,2,5,5,7,13797
1,13797,1,1,95,5,2,3,7,4,16450
1,13797,1,1,95,4,2,2,7,5,16450
1,4636,1,7,95,24,2,22,7,6,16450
1,4906,1,12,95,23,2,21,7,7,16450
1,4906,1,6,95,22,2,20,7,1,16450
1,4906,1,1,95,20,2,18,7,3,16450
1,5217,1,6,95,19,2,17,7,4,16450
1,6218,1,2,95,15,2,13,7,1,16450
1,6540,1,1,95,13,2,11,7,3,16450
1,8860,1,1,95,11,2,9,7,5,16450
1,12946,1,1,95,10,2,8,7,6,16450
1,12946,1,1,95,9,2,7,7,7,16450
1,4636,1,7,95,24,2,1,7,6,4906
1,4636,1,7,95,24,2,2,1,6,4906
1,4906,1,12,95,23,2,1,1,7,4906
1,4636,1,7,95,24,2,4,3,6,4906
1,4906,1,12,95,23,2,3,3,7,4906
1,4906,1,6,95,22,2,2,3,1,4906
1,4636,1,7,95,24,2,5,4,6,5217
1,4906,1,12,95,23,2,4,4,7,5217
1,4906,1,6,95,22,2,3,4,1,5217
1,4906,1,1,95,20,2,1,4,3,5217
1,4636,1,7,95,24,2,9,1,6,6218
1,4906,1,12,95,23,2,8,1,7,6218
1,4906,1,6,95,22,2,7,1,1,6218
1,4906,1,1,95,20,2,5,1,3,6218
1,5217,1,6,95,19,2,4,1,4,6218
1,4636,1,7,95,24,2,11,3,6,6540
1,4906,1,12,95,23,2,10,3,7,6540
1,4906,1,6,95,22,2,9,3,1,6540
1,4906,1,1,95,20,2,7,3,3,6540
1,5217,1,6,95,19,2,6,3,4,6540
1,6218,1,2,95,15,2,2,3,1,6540
1,4636,1,7,95,24,2,13,5,6,8860
1,4906,1,12,95,23,2,12,5,7,8860
1,4906,1,6,95,22,2,11,5,1,8860
1,4906,1,1,95,20,2,9,5,3,8860
1,5217,1,6,95,19,2,8,5,4,8860
1,6218,1,2,95,15,2,4,5,1,8860
1,6540,1,1,95,13,2,2,5,3,8860
1,4636,1,7,95,24,2,14,6,6,12946
1,4906,1,12,95,23,2,13,6,7,12946
1,4906,1,6,95,22,2,12,6,1,12946
1,4906,1,1,95,20,2,10,6,3,12946
1,5217,1,6,95,19,2,9,6,4,12946
1,6218,1,2,95,15,2,5,6,1,12946
1,6540,1,1,95,13,2,3,6,3,12946
1,8860,1,1,95,11,2,1,6,5,12946
1,4636,1,7,95,24,2,15,7,6,12946
1,4906,1,12,95,23,2,14,7,7,12946
1,4906,1,6,95,22,2,13,7,1,12946
1,4906,1,1,95,20,2,11,7,3,12946
1,5217,1,6,95,19,2,10,7,4,12946
1,6218,1,2,95,15,2,6,7,1,12946
1,6540,1,1,95,13,2,4,7,3,12946
1,8860,1,1,95,11,2,2,7,5,12946
1,12946,1,1,95,10,2,1,7,6,12946
1,3981,1,5,95,25,3,19,4,6,11010
1,3981,1,6,95,24,3,18,4,7,11010
1,4233,1,1,95,23,3,17,4,1,11010
1,4636,1,7,95,21,3,15,4,3,11010
1,4636,1,7,95,20,3,14,4,4,11010
1,5217,1,3,95,16,3,10,4,1,11010
1,5617,1,1,95,14,3,8,4,3,11010
1,5973,1,1,95,12,3,6,4,5,11010
1,8860,1,2,95,11,3,5,4,6,11010
1,10324,1,1,95,10,3,4,4,7,11010
1,11010,1,3,95,6,3,1,5,4,12946
1,3981,1,5,95,25,3,20,5,6,12946
1,3981,1,6,95,24,3,19,5,7,12946
1,4233,1,1,95,23,3,18,5,1,12946
1,4636,1,7,95,21,3,16,5,3,12946
1,4636,1,7,95,20,3,15,5,4,12946
1,5217,1,3,95,16,3,11,5,1,12946
1,5617,1,1,95,14,3,9,5,3,12946
1,5973,1,1,95,12,3,7,5,5,12946
1,8860,1,2,95,11,3,6,5,6,12946
1,10324,1,1,95,10,3,5,5,7,12946
1,11010,1,3,95,6,3,3,7,4,11010
1,12946,1,1,95,5,3,2,7,5,11010
1,3981,1,5,95,25,3,22,7,6,11010
1,3981,1,6,95,24,3,21,7,7,11010
1,4233,1,1,95,23,3,20,7,1,11010
1,4636,1,7,95,21,3,18,7,3,11010
1,4636,1,7,95,20,3,17,7,4,11010
1,5217,1,3,95,16,3,13,7,1,11010
1,5617,1,1,95,14,3,11,7,3,11010
1,5973,1,1,95,12,3,9,7,5,11010
1,8860,1,2,95,11,3,8,7,6,11010
1,10324,1,1,95,10,3,7,7,7,11010
1,3981,1,5,95,25,3,1,7,6,3981
1,3981,1,5,95,25,3,2,1,6,4233
1,3981,1,6,95,24,3,1,1,7,4233
1,3981,1,5,95,25,3,4,3,6,4636
1,3981,1,6,95,24,3,3,3,7,4636
1,4233,1,1,95,23,3,2,3,1,4636
1,3981,1,5,95,25,3,5,4,6,4636
